**************************************************
All Kharchenko+ 2013 clusters in sector 5:

Name            d         logt        N1sr2  total_sectors_obsd
          Lynga_4       1369.0        8.550        327.0                   1
       Loden_1256       1226.0        8.580        302.0                   1
         NGC_4815       2990.0        8.600         69.0                   1
         NGC_5043        860.0        8.600        158.0                   1
    Collinder_275       1952.0        8.600        110.0                   1
       Loden_1289       1753.0        8.600        161.0                   1
       ESO_175-06        586.0        8.600        126.0                   1
         FSR_1696       1148.0        8.610        116.0                   1
        Loden_995       1481.0        8.625        116.0                   1
          ASCC_74        550.0        8.630         77.0                   1
         NGC_4852       1106.0        8.635        187.0                   1
         NGC_5381       1949.0        8.650        354.0                   1
       Loden_1225       1330.0        8.670        439.0                   1
     Ruprecht_108        935.0        8.675        144.0                   1
         NGC_5299       1847.0        8.700        139.0                   1
     Ruprecht_110       1241.0        8.700        182.0                   1
       Loden_1194        673.0        8.705        137.0                   1
     Ruprecht_112       1764.0        8.740        195.0                   1
         NGC_5593        808.0        8.770        129.0                   1
       Teutsch_79       1461.0        8.780         49.0                   1
         FSR_1654       4015.0        8.780         35.0                   1
    Collinder_268       1811.0        8.790         64.0                   1
       Loden_1010        949.0        8.825        225.0                   1
       Loden_2326       1390.0        8.830        133.0                   1
       Loden_1378       1346.0        8.840        220.0                   1
         NGC_5822        794.0        8.840       1817.0                   1
         FSR_1653       3258.0        8.850         83.0                   1
         FSR_1617       1828.0        8.900        105.0                   1
         FSR_1623       6915.0        8.900        113.0                   1
         FSR_1668       1184.0        8.900        216.0                   1
       ESO_134-12       2088.0        8.900         98.0                   1
         FSR_1728       1031.0        8.900         65.0                   1
          Lynga_3       4164.0        8.915        154.0                   1
         FSR_1641       1934.0        8.950         48.0                   1
       ESO_065-03       3047.0        8.960         87.0                   1
         NGC_5823       1189.0        8.960        161.0                   1
       Loden_2115       1434.0        8.960        423.0                   1
         NGC_5715       1490.0        8.970        126.0                   1
        Pismis_18       2309.0        8.975        125.0                   1
vdBergh-Hagen_144       7241.0        9.000         31.0                   1
         FSR_1657       5409.0        9.000        134.0                   1
         FSR_1650       4103.0        9.000        116.0                   1
         Turner_7       6955.0        9.000        221.0                   1
         FSR_1678       1791.0        9.000         85.0                   1
        Pismis_19       1978.0        9.015        109.0                   1
        Loden_894       1423.0        9.040         81.0                   1
         FSR_1652       1213.0        9.100        139.0                   1
         NGC_5288       5086.0        9.100        123.0                   1
         FSR_1690       1850.0        9.135        115.0                   1
         FSR_1649       7086.0        9.150        134.0                   1
       ESO_132-14       1093.0        9.150         89.0                   1
         FSR_1682       1388.0        9.160        370.0                   1
         FSR_1683       3848.0        9.170         47.0                   1
        C1331-622       1078.0        9.250        116.0                   1
         FSR_1656       5087.0        9.250         86.0                   1
         NGC_5800       4844.0        9.250        198.0                   1
          ASCC_57       1483.0        9.260        257.0                   1
         FSR_1689       2282.0        9.275         84.0                   1
       ESO_329-02       1546.0        9.300         45.0                   1
         FSR_1720       3066.0        9.330        127.0                   1
         FSR_1568       1871.0        9.350         92.0                   1
         FSR_1695       1667.0        9.380         60.0                   1
         FSR_1651       3602.0        9.400        226.0                   1
       ESO_065-07       3477.0        9.400         67.0                   1
         FSR_1684       2733.0        9.400         57.0                   1
         FSR_1661       4331.0        9.400         79.0                   1
         FSR_1705       1582.0        9.400         32.0                   1
         FSR_1676       4570.0        9.450        120.0                   1
          IC_1023       1298.0        9.480         32.0                   1
         FSR_1638       7702.0        9.500         53.0                   1
         FSR_1673       2154.0        9.500         38.0                   1
         FSR_1674       3057.0        9.500        194.0                   1
       ESO_447-29       1634.0        9.500         27.0                   1
         NGC_5998       4853.0        9.500         55.0                   1
       ESO_389-05       4785.0        9.550         86.0                   1
         FSR_1607       1561.0        9.565         69.0                   1
         FSR_1672       3020.0        9.600         76.0                   1
         FSR_1699       1953.0        9.600        112.0                   1
    Collinder_261       2683.0        9.700        421.0                   1
vdBergh-Hagen_176      18887.0        9.800         33.0                   1
         NGC_5927       7699.0        9.950        182.0                   1
         NGC_4372       5807.0       10.100        406.0                   1
         NGC_4833       6595.0       10.100        123.0                   1
         NGC_5139       5199.0       10.100       1717.0                   1
         NGC_5286      11711.0       10.100        139.0                   1
         NGC_5694      34992.0       10.100         10.0                   1
         NGC_5824      32114.0       10.100         45.0                   1
         NGC_5946      10596.0       10.100         54.0                   1
         NGC_5986      10517.0       10.100        119.0                   1

100 most-observed Kharchenko+ 2013 clusters in South:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         NGC_1520       1023.0        9.430         10.0                   5
         FSR_1440       1631.0        8.760         91.0                   4
         FSR_1479       4055.0        9.200         40.0                   4
        Mamajek_1        112.0        6.990         19.0                   3
         NGC_2609       1481.0        8.480         24.0                   3
          ASCC_51        496.0        8.540        157.0                   3
       ESO_252-14       2180.0        8.655         16.0                   3
         Alessi_3        311.0        8.870         78.0                   3
         FSR_1446       2434.0        9.100         49.0                   3
         FSR_1447       2549.0        9.100         39.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
 vdBergh-Hagen_58       2398.0        9.170         26.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
         FSR_1435       1296.0        6.000         61.0                   2
        Pismis_11       4767.0        6.000         38.0                   2
          DBSB_43       1940.0        6.000         41.0                   2
           Hogg_7       4583.0        6.000         29.0                   2
          DBSB_75       4564.0        6.000         54.0                   2
         DBSB_129       6976.0        6.000         38.0                   2
          DBSB_78       4569.0        6.000         25.0                   2
             DC_5       4430.0        6.050         88.0                   2
         NGC_3324       2361.0        6.100         19.0                   2
          DBSB_72       4494.0        6.100         37.0                   2
         FSR_1527       3258.0        6.200         51.0                   2
          IC_2944       2098.0        6.250         88.0                   2
        Loden_153       3015.0        6.300         42.0                   2
          DBSB_77       5417.0        6.300         30.0                   2
         FSR_1595       4416.0        6.350        196.0                   2
      Ruprecht_83       6020.0        6.400        194.0                   2
         Muzzio_1       1394.0        6.500        111.0                   2
          DBSB_73       4532.0        6.500         26.0                   2
         Loden_27       2628.0        6.600        100.0                   2
         FSR_1531       2710.0        6.600         57.0                   2
     Westerlund_2       4469.0        6.600         51.0                   2
          DBSB_69       2273.0        6.600         25.0                   2
          IC_2948       2796.0        6.600        130.0                   2
        Loden_467       2569.0        6.600         68.0                   2
      Feigelson_1        117.0        6.600         26.0                   2
vdBergh-Hagen_121       2937.0        6.640        143.0                   2
         NGC_3293       2441.0        6.750        128.0                   2
          DBSB_60       3740.0        6.750         32.0                   2
      Ruprecht_59       4004.0        6.800         88.0                   2
          DBSB_35       1678.0        6.800         35.0                   2
       Schuster_1       1863.0        6.800         37.0                   2
      Ruprecht_90       2682.0        6.800        114.0                   2
         Stock_14       2454.0        6.800        199.0                   2
          ASCC_70       2652.0        6.920        460.0                   2
          ASCC_79        871.0        6.950        703.0                   2
        Loden_112       2430.0        6.960        141.0                   2
      Ruprecht_55       3640.0        6.970        112.0                   2
          DBSB_51       3189.0        7.000         38.0                   2
      Ruprecht_94       2932.0        7.000        360.0                   2
    Collinder_205       1458.0        7.030        131.0                   2
    Collinder_121       1096.0        7.080        205.0                   2
        Pismis_16       1949.0        7.100         55.0                   2
vdBergh-Hagen_164        501.0        7.100        110.0                   2
 vdBergh-Hagen_23        414.0        7.140        123.0                   2
     Ruprecht_154       3160.0        7.150         37.0                   2
          ASCC_58        564.0        7.200        149.0                   2
       ESO_430-14       2860.0        7.210         78.0                   2
      Ruprecht_79       1991.0        7.265        192.0                   2
          IC_2395        701.0        7.270        159.0                   2
 vdBergh-Hagen_56        737.0        7.300         48.0                   2
 vdBergh-Hagen_87       1671.0        7.300        167.0                   2
          DBSB_46       2565.0        7.300         34.0                   2
       ESO_130-06       1198.0        7.300        199.0                   2
          IC_2581       2221.0        7.320        282.0                   2
         NGC_2571       1339.0        7.350        116.0                   2
         NGC_2659       1713.0        7.360        159.0                   2
         Graham_1       2577.0        7.375         62.0                   2
         NGC_3105      10301.0        7.400         51.0                   2
         Lynga_15       1380.0        7.400         97.0                   2
         Loden_28       3973.0        7.405         17.0                   2
         Pismis_8       1363.0        7.430        122.0                   2
         FSR_1379       1951.0        7.450        105.0                   2
         Bochum_7       6059.0        7.500         39.0                   2
 vdBergh-Hagen_54       1239.0        7.500        138.0                   2
          DBSB_36        748.0        7.500         18.0                   2
         Basel_20       1380.0        7.500        171.0                   2
          DBSB_50       1634.0        7.500         52.0                   2
     Ruprecht_102       1609.0        7.500        252.0                   2
         FSR_1474       1079.0        7.525         44.0                   2
         Pismis_6       1668.0        7.580        276.0                   2
         FSR_1518       1819.0        7.600         78.0                   2
        Loden_624       1423.0        7.600        999.0                   2
          DBSB_47       1669.0        7.650         28.0                   2
          ASCC_61       1702.0        7.665        111.0                   2

**************************************************
All Kharchenko+ 2013 clusters in sector 11:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_1520       1023.0        9.430         10.0                   5
        Mamajek_1        112.0        6.990         19.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
      Feigelson_1        117.0        6.600         26.0                   2
          ASCC_79        871.0        6.950        703.0                   2
vdBergh-Hagen_164        501.0        7.100        110.0                   2
          DBSB_94       2422.0        8.220         36.0                   2
          ASCC_80       1281.0        8.375        688.0                   2
         FSR_1694       9537.0        8.400         60.0                   2
       Loden_2159       6111.0        8.500        168.0                   2
       Loden_2158       6206.0        8.500        149.0                   2
         FSR_1703       1330.0        8.550         61.0                   2
         FSR_1698       1562.0        8.560         96.0                   2
         NGC_5359       2221.0        8.750         59.0                   2
       ESO_099-06       1274.0        8.900         57.0                   2
         FSR_1700       2357.0        8.905         70.0                   2
         FSR_1693       3743.0        9.110         87.0                   2
         FSR_1640       6213.0        9.200         78.0                   2
         FSR_1685       1513.0        9.250         50.0                   2
         FSR_1639       7943.0        9.300         80.0                   2
          ASCC_78       3241.0        9.380         88.0                   2
         FSR_1647       2436.0        9.455         96.0                   2
         FSR_1631       1456.0        9.500        100.0                   2
         FSR_1642       3211.0        9.500         78.0                   2
       ESO_021-06       2473.0        9.500         89.0                   2
         FSR_1658       4239.0        9.550        136.0                   2
         FSR_1626       2671.0        9.600        109.0                   2
         FSR_1598       3575.0        9.700         58.0                   2
         FSR_1629       3597.0        9.700         78.0                   2
      Chamaleon_I        380.0        6.000         75.0                   1
         DBSB_161       6353.0        6.000         72.0                   1
         Lynga_11       4101.0        6.000         32.0                   1
         DBSB_175       3798.0        6.000         36.0                   1
         DBSB_123       2024.0        6.000         22.0                   1
         DBSB_120       5483.0        6.000         75.0                   1
         NGC_6357       1773.0        6.000         29.0                   1
        Pismis_24       1481.0        6.000         13.0                   1
         BDSB_164       3135.0        6.000         28.0                   1
         BDSB_166       6755.0        6.000         52.0                   1
         BDSB_165       5147.0        6.000         50.0                   1
       Antalova_2       1259.0        6.000         53.0                   1
        DB2001_41       1904.0        6.000         15.0                   1
       Antalova_4       1802.0        6.000         26.0                   1
    Dutra-Bica_51       1346.0        6.000         12.0                   1
         DBSB_102       4362.0        6.100         44.0                   1
         DBSB_166       5366.0        6.200         56.0                   1
         DBSB_167       4076.0        6.200         36.0                   1
        DB2001_42       2727.0        6.250         26.0                   1
         DBSB_162       5523.0        6.300         43.0                   1
         DBSB_173       4526.0        6.300         47.0                   1
         BDSB_102       2837.0        6.300         22.0                   1
          Sco_OB5       2695.0        6.325        414.0                   1
         DBSB_149       4204.0        6.400         33.0                   1
         DBSB_106       3490.0        6.400         50.0                   1
      Patchick_94       3178.0        6.550         60.0                   1
         NGC_6222       3308.0        6.600        226.0                   1
         DBSB_177       2601.0        6.600        100.0                   1
       Teutsch_85       1569.0        6.600         44.0                   1
         NGC_6383       1184.0        6.600         77.0                   1
      Trumpler_28       1474.0        6.600         75.0                   1
         DBSB_159       3358.0        6.620        111.0                   1
vdBergh-Hagen_245       1699.0        6.670         72.0                   1
         DBSB_154       2087.0        6.700         42.0                   1
         NGC_6193       1158.0        6.700        205.0                   1
         NGC_6216       3355.0        6.700        296.0                   1
         Moffat_1       2120.0        6.800         87.0                   1
          Hogg_22       2799.0        6.800         52.0                   1
       ESO_332-13       2910.0        6.820         64.0                   1
     Westerlund_1       7686.0        6.900         13.0                   1
         DBSB_113       2382.0        6.900         36.0                   1
  Havlen-Moffat_1       4854.0        6.950         64.0                   1
         NGC_6200       2214.0        7.000        186.0                   1
          ASCC_88       1297.0        7.000       1955.0                   1
          ASCC_89        567.0        7.000        272.0                   1
         NGC_6231       1393.0        7.050       1207.0                   1
vdBergh-Hagen_205       1536.0        7.120         51.0                   1
         FSR_1754       1400.0        7.150         99.0                   1
         NGC_6322       1089.0        7.160        101.0                   1
         DBSB_155       2186.0        7.200         49.0                   1
         DBSB_103       1449.0        7.200         16.0                   1
    Collinder_307       2065.0        7.250        218.0                   1
        Bochum_13       1340.0        7.250        165.0                   1
         DBSB_156       2031.0        7.300         76.0                   1
         DBSB_164       2053.0        7.300         36.0                   1
         DBSB_115       2628.0        7.380         29.0                   1
         DBSB_174       1710.0        7.400         26.0                   1
         NGC_6250        940.0        7.420        382.0                   1
          Lynga_6       1771.0        7.450        170.0                   1
          Hogg_20       1777.0        7.450         70.0                   1
          Hogg_21       1750.0        7.450         80.0                   1
         NGC_6169       1007.0        7.500         60.0                   1
          ASCC_85        806.0        7.500        227.0                   1
vdBergh-Hagen_200       1633.0        7.500        116.0                   1
     Ruprecht_129       1526.0        7.500         15.0                   1
         NGC_6396       1168.0        7.505         13.0                   1
         NGC_6178       1011.0        7.510        143.0                   1
         NGC_6242       1184.0        7.550        516.0                   1
     Ruprecht_127       1435.0        7.550         29.0                   1
      Trumpler_27       1266.0        7.580        117.0                   1
         DBSB_108       1620.0        7.600         21.0                   1
          DBSB_99       2867.0        7.700         88.0                   1
         FSR_1739       1054.0        7.700        111.0                   1
vdBergh-Hagen_217       1723.0        7.700         89.0                   1
         DBSB_171       6764.0        7.710         14.0                   1
         NGC_6480       3567.0        7.725         41.0                   1
         DBSB_169       6667.0        7.750         16.0                   1
         Lynga_14       1327.0        7.750        106.0                   1
         DBSB_176       7693.0        7.795         18.0                   1
         NGC_6318       1841.0        7.800         66.0                   1
vdBergh-Hagen_221        807.0        7.800         63.0                   1
          ASCC_84        884.0        7.850        206.0                   1
     Ruprecht_134       6664.0        7.880         29.0                   1
vdBergh-Hagen_222       7813.0        7.900         78.0                   1
       Harvard_16       1467.0        7.940        138.0                   1
         DBSB_157       3917.0        7.950         44.0                   1
         NGC_6087        889.0        7.950        379.0                   1
       ESO_392-13        816.0        7.950         35.0                   1
         DBSB_178       7506.0        7.955        135.0                   1
         NGC_6067       1793.0        7.970        285.0                   1
       Harvard_10       1441.0        7.970        711.0                   1
       ESO_332-22       1422.0        7.995        177.0                   1
         DBSB_153       6497.0        8.000         33.0                   1
         DBSB_170       5163.0        8.000         17.0                   1
         FSR_1725       1623.0        8.000        137.0                   1
         NGC_6204       1085.0        8.000        144.0                   1
         NGC_6405        356.0        8.035        164.0                   1
         DBSB_101       1076.0        8.050        130.0                   1
          ASCC_86        738.0        8.050        466.0                   1
       ESO_332-20       1695.0        8.050         73.0                   1
    Collinder_338        698.0        8.050        297.0                   1
         NGC_6249       1113.0        8.090        285.0                   1
          ASCC_83        619.0        8.100        175.0                   1
     Ruprecht_123        929.0        8.100        148.0                   1
         NGC_6192       1619.0        8.150        280.0                   1
    Collinder_333       1051.0        8.150         19.0                   1
      Trumpler_26       1490.0        8.170         26.0                   1
         NGC_6025        763.0        8.180        523.0                   1
         NGC_6167       1216.0        8.190        471.0                   1
         NGC_6031       1278.0        8.195        146.0                   1
        Pismis_22       2023.0        8.200         50.0                   1
         NGC_6416        767.0        8.200         45.0                   1
     Ruprecht_124       2186.0        8.250         67.0                   1
         NGC_6475        303.0        8.250        857.0                   1
         NGC_6124        559.0        8.285       1631.0                   1
         DBSB_163       1258.0        8.320         95.0                   1
         NGC_6334       1132.0        8.320        173.0                   1
     Ruprecht_113        810.0        8.345        756.0                   1
      Trumpler_25       1818.0        8.350        177.0                   1
      Trumpler_30       1982.0        8.350         27.0                   1
       Antalova_3       2588.0        8.415         23.0                   1
     Ruprecht_121       1239.0        8.425        234.0                   1
     Ruprecht_119       1105.0        8.435        107.0                   1
     Ruprecht_120       1476.0        8.450         75.0                   1
vdBergh-Hagen_223        895.0        8.450         15.0                   1
vdBergh-Hagen_231       2778.0        8.450         40.0                   1
         NGC_6451       2605.0        8.450         41.0                   1
       ESO_226-06       1220.0        8.475         73.0                   1
         NGC_6259       1855.0        8.475        254.0                   1
       Antalova_1        930.0        8.485         66.0                   1
         FSR_1709       1893.0        8.500        127.0                   1
         NGC_6281        512.0        8.500        415.0                   1
     Ruprecht_130       3334.0        8.520         14.0                   1
         NGC_6425       1012.0        8.545         25.0                   1
         DBSB_100       2240.0        8.550         44.0                   1
         Alessi_9        218.0        8.550        359.0                   1
        Pismis_23       2820.0        8.565         41.0                   1
          ASCC_82        800.0        8.600        135.0                   1
         NGC_5999       1629.0        8.600         42.0                   1
         FSR_1712       1137.0        8.600        306.0                   1
         FSR_1744       1844.0        8.600        135.0                   1
         NGC_6152       1031.0        8.630        170.0                   1
         NGC_6268       1105.0        8.650        237.0                   1
          ASCC_91        858.0        8.650        185.0                   1
         FSR_1767       1948.0        8.675         77.0                   1
      Trumpler_29       1096.0        8.685        110.0                   1
    Collinder_292       1106.0        8.700        141.0                   1
         DBSB_158       2434.0        8.705        135.0                   1
vdBergh-Hagen_214       1579.0        8.710         47.0                   1
       ESO_277-04       1790.0        8.720         43.0                   1
      Johansson_1        869.0        8.725        923.0                   1
         NGC_6404       2146.0        8.750         20.0                   1
       ESO_139-13       1500.0        8.780        102.0                   1
         FSR_1750       1555.0        8.795        134.0                   1
          ASCC_90        526.0        8.810        103.0                   1
          Lynga_9       1704.0        8.820        110.0                   1
     Ruprecht_125       1188.0        8.825         94.0                   1
          Basel_5        995.0        8.850         16.0                   1
         FSR_1727       1201.0        8.870        106.0                   1
     Ruprecht_126       2325.0        8.875         43.0                   1
         NGC_6400        938.0        8.875        174.0                   1
     Ruprecht_114       2088.0        8.900         61.0                   1
       ESO_137-43       1659.0        8.900         50.0                   1
vdBergh-Hagen_197       2069.0        8.940         34.0                   1
         NGC_6360       4499.0        8.950         39.0                   1
      Trumpler_23       2194.0        8.960        120.0                   1
          Lynga_5       1753.0        8.975        282.0                   1
       ESO_139-54        985.0        8.990         43.0                   1
       Teutsch_84       3411.0        8.995        269.0                   1
       ESO_456-05       1828.0        9.000         31.0                   1
         FSR_1774       1935.0        9.000         36.0                   1
         NGC_6134        892.0        9.015        433.0                   1
          Hogg_19        898.0        9.015        162.0                   1
         NGC_6444       1217.0        9.015         37.0                   1
         NGC_6005       1802.0        9.060         45.0                   1
         FSR_1766       3540.0        9.125        100.0                   1
     Ruprecht_115       1948.0        9.135         89.0                   1
       ESO_393-15       2471.0        9.150         62.0                   1
         FSR_1769       5409.0        9.190        155.0                   1
         Lynga_13       3412.0        9.200         51.0                   1
         FSR_1758       7086.0        9.200        106.0                   1
       ESO_334-02       3210.0        9.200         65.0                   1
     Ruprecht_128       2486.0        9.200         69.0                   1
       ESO_456-29       3007.0        9.200        147.0                   1
         FSR_1716       2396.0        9.225        125.0                   1
         Lynga_12       1872.0        9.250        235.0                   1
          IC_4651        888.0        9.250        325.0                   1
         NGC_6455       2710.0        9.250        156.0                   1
         NGC_6208        926.0        9.280        176.0                   1
          Lynga_8       1338.0        9.290         47.0                   1
         FSR_1713       4935.0        9.300         47.0                   1
         FSR_1746       4103.0        9.300        135.0                   1
         FSR_1732       3584.0        9.300        178.0                   1
         FSR_1721       2326.0        9.300         88.0                   1
       ESO_043-13       1490.0        9.315         73.0                   1
         FSR_1667       5175.0        9.350        140.0                   1
         FSR_1756       2532.0        9.375         75.0                   1
         FSR_1729       1629.0        9.380         78.0                   1
         FSR_1719       1113.0        9.400        125.0                   1
         FSR_1740       3066.0        9.400        144.0                   1
         NGC_6588       4757.0        9.400         68.0                   1
         FSR_1751       3393.0        9.415         85.0                   1
         FSR_1692       1781.0        9.450         65.0                   1
         FSR_1737       2136.0        9.500         79.0                   1
         FSR_1734       3481.0        9.500        133.0                   1
         FSR_1718       2466.0        9.500         25.0                   1
         FSR_1763       6605.0        9.500         70.0                   1
         FSR_1776       8923.0        9.500        105.0                   1
       ESO_137-23       1561.0        9.550         85.0                   1
         FSR_1761       7468.0        9.600        107.0                   1
         FSR_1775       8508.0        9.600        104.0                   1
         FSR_1748       4298.0        9.700         76.0                   1
         NGC_6253       1511.0        9.700        255.0                   1
       ESO_229-02       2362.0        9.700         91.0                   1
      Melotte_227       2218.0        9.700        137.0                   1
       ESO_026-02       2473.0        9.700         44.0                   1
         Terzan_6       6812.0        9.850         65.0                   1
         FSR_1735       8831.0        9.900         10.0                   1
         Terzan_3       8205.0        9.950        175.0                   1
         Terzan_2       7495.0        9.950        142.0                   1
         NGC_6528       7892.0        9.950        150.0                   1
          Lynga_7       8785.0       10.050         56.0                   1
         NGC_6352       5610.0       10.050        187.0                   1
         NGC_6380      10897.0       10.050        276.0                   1
        Pismis_26       8201.0       10.050        137.0                   1
         NGC_6388       9889.0       10.050        336.0                   1
         NGC_6397       2301.0       10.050        314.0                   1
          Djorg_1      13682.0       10.050        136.0                   1
         NGC_6441      11610.0       10.050         56.0                   1
       ESO_456-09       7475.0       10.050         67.0                   1
         NGC_6496      11307.0       10.050         88.0                   1
          IC_4499      18804.0       10.100         50.0                   1
         NGC_6101      15405.0       10.100         45.0                   1
         NGC_6139      10110.0       10.100        163.0                   1
         1636-283       8308.0       10.100         26.0                   1
         NGC_6256      10296.0       10.100        202.0                   1
         NGC_6266       6805.0       10.100        256.0                   1
         Terzan_4       7198.0       10.100         47.0                   1
vdBergh-Hagen_229       8197.0       10.100         82.0                   1
         NGC_6362       7600.0       10.100        113.0                   1
         Terzan_1       6699.0       10.100         26.0                   1
       ESO_393-12       8208.0       10.100         87.0                   1
         NGC_6453      11611.0       10.100         48.0                   1
         NGC_6522       7702.0       10.100         42.0                   1
         NGC_6541       7499.0       10.100        136.0                   1
         ESO-SC06      21395.0       10.100         30.0                   1
         NGC_6584      13501.0       10.100        105.0                   1

100 most-observed Kharchenko+ 2013 clusters in South:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         NGC_1520       1023.0        9.430         10.0                   5
         FSR_1440       1631.0        8.760         91.0                   4
         FSR_1479       4055.0        9.200         40.0                   4
        Mamajek_1        112.0        6.990         19.0                   3
         NGC_2609       1481.0        8.480         24.0                   3
          ASCC_51        496.0        8.540        157.0                   3
       ESO_252-14       2180.0        8.655         16.0                   3
         Alessi_3        311.0        8.870         78.0                   3
         FSR_1446       2434.0        9.100         49.0                   3
         FSR_1447       2549.0        9.100         39.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
 vdBergh-Hagen_58       2398.0        9.170         26.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
         FSR_1435       1296.0        6.000         61.0                   2
        Pismis_11       4767.0        6.000         38.0                   2
          DBSB_43       1940.0        6.000         41.0                   2
           Hogg_7       4583.0        6.000         29.0                   2
          DBSB_75       4564.0        6.000         54.0                   2
         DBSB_129       6976.0        6.000         38.0                   2
          DBSB_78       4569.0        6.000         25.0                   2
             DC_5       4430.0        6.050         88.0                   2
         NGC_3324       2361.0        6.100         19.0                   2
          DBSB_72       4494.0        6.100         37.0                   2
         FSR_1527       3258.0        6.200         51.0                   2
          IC_2944       2098.0        6.250         88.0                   2
        Loden_153       3015.0        6.300         42.0                   2
          DBSB_77       5417.0        6.300         30.0                   2
         FSR_1595       4416.0        6.350        196.0                   2
      Ruprecht_83       6020.0        6.400        194.0                   2
         Muzzio_1       1394.0        6.500        111.0                   2
          DBSB_73       4532.0        6.500         26.0                   2
         Loden_27       2628.0        6.600        100.0                   2
         FSR_1531       2710.0        6.600         57.0                   2
     Westerlund_2       4469.0        6.600         51.0                   2
          DBSB_69       2273.0        6.600         25.0                   2
          IC_2948       2796.0        6.600        130.0                   2
        Loden_467       2569.0        6.600         68.0                   2
      Feigelson_1        117.0        6.600         26.0                   2
vdBergh-Hagen_121       2937.0        6.640        143.0                   2
         NGC_3293       2441.0        6.750        128.0                   2
          DBSB_60       3740.0        6.750         32.0                   2
      Ruprecht_59       4004.0        6.800         88.0                   2
          DBSB_35       1678.0        6.800         35.0                   2
       Schuster_1       1863.0        6.800         37.0                   2
      Ruprecht_90       2682.0        6.800        114.0                   2
         Stock_14       2454.0        6.800        199.0                   2
          ASCC_70       2652.0        6.920        460.0                   2
          ASCC_79        871.0        6.950        703.0                   2
        Loden_112       2430.0        6.960        141.0                   2
      Ruprecht_55       3640.0        6.970        112.0                   2
          DBSB_51       3189.0        7.000         38.0                   2
      Ruprecht_94       2932.0        7.000        360.0                   2
    Collinder_205       1458.0        7.030        131.0                   2
    Collinder_121       1096.0        7.080        205.0                   2
        Pismis_16       1949.0        7.100         55.0                   2
vdBergh-Hagen_164        501.0        7.100        110.0                   2
 vdBergh-Hagen_23        414.0        7.140        123.0                   2
     Ruprecht_154       3160.0        7.150         37.0                   2
          ASCC_58        564.0        7.200        149.0                   2
       ESO_430-14       2860.0        7.210         78.0                   2
      Ruprecht_79       1991.0        7.265        192.0                   2
          IC_2395        701.0        7.270        159.0                   2
 vdBergh-Hagen_56        737.0        7.300         48.0                   2
 vdBergh-Hagen_87       1671.0        7.300        167.0                   2
          DBSB_46       2565.0        7.300         34.0                   2
       ESO_130-06       1198.0        7.300        199.0                   2
          IC_2581       2221.0        7.320        282.0                   2
         NGC_2571       1339.0        7.350        116.0                   2
         NGC_2659       1713.0        7.360        159.0                   2
         Graham_1       2577.0        7.375         62.0                   2
         NGC_3105      10301.0        7.400         51.0                   2
         Lynga_15       1380.0        7.400         97.0                   2
         Loden_28       3973.0        7.405         17.0                   2
         Pismis_8       1363.0        7.430        122.0                   2
         FSR_1379       1951.0        7.450        105.0                   2
         Bochum_7       6059.0        7.500         39.0                   2
 vdBergh-Hagen_54       1239.0        7.500        138.0                   2
          DBSB_36        748.0        7.500         18.0                   2
         Basel_20       1380.0        7.500        171.0                   2
          DBSB_50       1634.0        7.500         52.0                   2
     Ruprecht_102       1609.0        7.500        252.0                   2
